9780451524935;1234567890123;1984;1  
9780141439518;1234567890124;Pride and Prejudice;2  
9780142437179;1234567890125;Adventures of Huckleberry Finn;3  
9780156907392;1234567890126;Mrs. Dalloway;4  
9780684801223;1234567890127;The Old Man and the Sea;5  
9780062073488;1234567890128;Murder on the Orient Express;6  
9780439139595;1234567890129;Harry Potter and the Goblet of Fire;7  
9780743477116;1234567890130;Hamlet;8  
9780743273565;1234567890131;The Great Gatsby;9  
9780141439471;1234567890132;Frankenstein;10
