1;1;9780451524935;20231201;20231215;0
2;2;9780141439518;20231128;20231212;1
3;10;9780142437179;20231203;20231217;0
4;21;9780156907392;20231125;20231209;1
5;19;9780684801223;20231130;20231214;0
6;15;9780062073488;20231205;20231219;0
7;20;9780439139595;20231129;20231213;1
8;11;9780743477116;20231202;20231216;0
9;13;9780743273565;20241203;20241230;0
10;3;9780141439471;20241217;20241230;0
11;4;9780743477116;20241201;20241220;0
12;13;9780439139595;19700101;20100112;0
14;22;9780140186475;20240101;20240202;0
15;23;9780142437339;20240202;20241212;0
16;55;9780486282115;20241202;20241203;0
